Query,Kategori Query,Rank,Article ID,Kategori Artikel,Judul,Penulis,Tahun,Source,Similarity Score,Threshold Relevan,Relevan Human Judgment,Occurrence,Interpretasi
cyber security,Cyber Security,17,88,cyber security,Cybersecurity of industrial cyber-physical systems: A review,"H Kayan, M Nunes, O Rana, P Burnap…",2022,ACM Computing Surveys …,0.333227,Ya,Ya,5,Relevan Sedang
cyber security,Cyber Security,18,93,cyber security,"Navigating the cyber security landscape: A comprehensive review of cyber-attacks, emerging trends, and recent developments","MAI Mallick, R Nath",2024,World Scientific News,0.325223,Ya,Ya,6,Relevan Sedang
cyber security,Cyber Security,19,83,cyber security,Counterattacking cyber threats: A framework for the future of cybersecurity,"MF Safitra, M Lubis, H Fakhrurroja",2023,Sustainability,0.318543,Ya,Ya,5,Relevan Sedang
cyber security,Cyber Security,20,82,cyber security,Cyber security in the metaverse,"D Kaur, B Singh, S Rani",2023,Handbook of Research on AI-Based …,0.248561,Tidak,Tidak,4,Rendah
keamanan siber,Cyber Security,1,57,cyber security,Edukasi Keamanan Siber Berdigital dengan Aman,FPS Surbakti,2024,Prima Abdika: Jurnal Pengabdian Masyarakat,0.659802,Ya,Ya,9,Relevan Tinggi
keamanan siber,Cyber Security,2,71,cyber security,Mengukur Keamanan Siber Indonesia Melalui Indikator Pilar Kerjasama Dalam Global Cybersecurity Index (GCI),"F Cloramidine, M Badaruddin",2023,Jurnal Sosial Dan Humaniora,0.633218,Ya,Ya,11,Relevan Tinggi
keamanan siber,Cyber Security,3,59,cyber security,Peraturan dan Regulasi Keamanan Siber di Era Digital,"N Kristianti, R Kurniasi",2024,Satya Dharma: Jurnal Ilmu Hukum,0.591827,Ya,Ya,8,Relevan Tinggi
keamanan siber,Cyber Security,4,54,cyber security,Analisis risiko keamanan siber dalam transformasi digital pelayanan publik di Indonesia,"M Alfi, NP Yundari, A Tsaqif",2023,Jurnal Kajian Stratejik Ketahanan …,0.591614,Ya,Ya,8,Relevan Tinggi
keamanan siber,Cyber Security,5,56,cyber security,Analisis penerapan sistem keamanan siber terhadap kejahatan siber di indonesia,"Y Daeng, J Levin, K Karolina, MR Prayudha…",2023,Innovative: Journal Of …,0.582863,Ya,Ya,7,Relevan Tinggi
keamanan siber,Cyber Security,6,62,cyber security,Upaya membangun kesadaran keamanan siber pada konsumen e-commerce di Indonesia,RN Rohmah,2022,Cendekia Niaga,0.573617,Ya,Ya,8,Relevan Tinggi
keamanan siber,Cyber Security,7,52,cyber security,Analisis hukum terhadap tantangan keamanan siber: Studi kasus penegakan hukum siber di Indonesia,FR Najwa,2024,"AL-BAHTS: Jurnal Ilmu Sosial, Politik, dan Hukum",0.560828,Ya,Ya,9,Relevan Tinggi
keamanan siber,Cyber Security,8,51,cyber security,Teknologi Keamanan Siber (Cyber Security),JT Santoso,2023,Penerbit Yayasan Prima Agus Teknik,0.555037,Ya,Ya,7,Relevan Tinggi
keamanan siber,Cyber Security,9,65,cyber security,Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia,"D Budiyanto, M Mabruri",2025,Prosiding Seminar Nasional Sains …,0.544865,Ya,Ya,7,Relevan Tinggi
keamanan siber,Cyber Security,10,60,cyber security,Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …,MP Aji,2023,Jurnal Politica Dinamika Masalah Politik Dalam Negeri …,0.527973,Ya,Ya,9,Relevan Tinggi
keamanan siber,Cyber Security,11,58,cyber security,Tinjauan Literatur Tentang Ancaman Cybercrime Dan Implementasi Keamanan Siber Di Industri Perbankan,"NS Azzahra, AM Tambunan, NN Aulia…",2024,"… , Sosial dan Bisnis",0.523205,Ya,Ya,8,Relevan Tinggi
keamanan siber,Cyber Security,12,75,cyber security,Keamanan siber di masa depan: Tantangan dan teknologi yang dibutuhkan,"CD Alviani, AS Padi…",2024,… Seminar Nasional Amikom …,0.506787,Ya,Ya,7,Relevan Tinggi
keamanan siber,Cyber Security,13,74,cyber security,Strategi Keamanan Siber Malaysia,"PB Oktaviani, A Silvia",2021,Jurnal Kajian Ilmiah,0.500465,Ya,Ya,9,Relevan Tinggi
keamanan siber,Cyber Security,14,53,cyber security,Data privasi dan keamanan siber pada smart-city: Tinjauan literatur,DAS Ilhami,2022,"Jurnal Sains, Nalar, Dan Aplikasi Teknologi Informasi",0.500122,Ya,Ya,7,Relevan Tinggi
keamanan siber,Cyber Security,15,70,cyber security,Analisis Keamanan Siber Pada Platform Pendidikan Islam Berbasis Mobile Apps,"MA Fitria, H Hilalludin",2025,An-Nuriyah: Journal Of Islamic …,0.493324,Ya,Ya,7,Relevan Sedang
keamanan siber,Cyber Security,16,67,cyber security,Optimalisasi penanggulangan kebocoran data melalui regulatory blockchain guna mewujudkan keamanan siber di Indonesia,"II Nugroho, R Pratiwi, SRA Zahro",2021,Ikatan Penulis Mahasiswa …,0.489972,Ya,Ya,8,Relevan Sedang
keamanan siber,Cyber Security,17,68,cyber security,Keamanan siber sebagai fondasi pengembangan aplikasi keuangan mobile: Studi literatur mengenai cybercrime dan mitigasinya,"S Azizah, ZN Ula, D Mutiara…",2024,Akuntansi dan …,0.483101,Ya,Ya,7,Relevan Sedang
keamanan siber,Cyber Security,18,69,cyber security,Transformasi digital dan keamanan siber: Upaya penanggulangan kejahatan di era teknologi di Indonesia,MA Djibu,2025,Judge: Jurnal Hukum,0.481358,Ya,Ya,7,Relevan Sedang
keamanan siber,Cyber Security,19,63,cyber security,Perkembangan Sistem Pertahanan/Keamanan Siber Indonesia dalam Menghadapi Tantangan Perkembangan Teknologi dan Informasi:-,M Rizki,2022,Politeia: Jurnal Ilmu Politik,0.478285,Ya,Ya,7,Relevan Sedang
keamanan siber,Cyber Security,20,66,cyber security,Analisis Keamanan Siber Dan Hukum Dari Perspektif Gender Dan Filsafat Politik Alison M. Jaggar,A Munte,2021,Al-Adl: Jurnal Hukum,0.472929,Ya,Ya,8,Relevan Sedang
keamanan jaringan,Cyber Security,1,51,cyber security,Teknologi Keamanan Siber (Cyber Security),JT Santoso,2023,Penerbit Yayasan Prima Agus Teknik,0.41092,Ya,Ya,5,Relevan Sedang
keamanan jaringan,Cyber Security,2,57,cyber security,Edukasi Keamanan Siber Berdigital dengan Aman,FPS Surbakti,2024,Prima Abdika: Jurnal Pengabdian Masyarakat,0.213336,Tidak,Tidak,5,Rendah
keamanan jaringan,Cyber Security,3,171,web application,Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web,"J Hendrawan, ID Perwitasari…",2023,JSR: Jaringan …,0.190725,Tidak,Tidak,1,Rendah
keamanan jaringan,Cyber Security,4,65,cyber security,Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia,"D Budiyanto, M Mabruri",2025,Prosiding Seminar Nasional Sains …,0.181206,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,5,59,cyber security,Peraturan dan Regulasi Keamanan Siber di Era Digital,"N Kristianti, R Kurniasi",2024,Satya Dharma: Jurnal Ilmu Hukum,0.172221,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,6,54,cyber security,Analisis risiko keamanan siber dalam transformasi digital pelayanan publik di Indonesia,"M Alfi, NP Yundari, A Tsaqif",2023,Jurnal Kajian Stratejik Ketahanan …,0.172159,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,7,75,cyber security,Keamanan siber di masa depan: Tantangan dan teknologi yang dibutuhkan,"CD Alviani, AS Padi…",2024,… Seminar Nasional Amikom …,0.168543,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,8,62,cyber security,Upaya membangun kesadaran keamanan siber pada konsumen e-commerce di Indonesia,RN Rohmah,2022,Cendekia Niaga,0.166922,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,9,53,cyber security,Data privasi dan keamanan siber pada smart-city: Tinjauan literatur,DAS Ilhami,2022,"Jurnal Sains, Nalar, Dan Aplikasi Teknologi Informasi",0.166326,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,10,72,cyber security,Analisis dan peningkatan keamanan cyber: Studi kasus ancaman dan solusi dalam lingkungan digital untuk mengamankan objek vital dan file,"E Soesanto, A Romadhon…",2023,Sammajiva: Jurnal …,0.164676,Tidak,Tidak,5,Rendah
keamanan jaringan,Cyber Security,11,70,cyber security,Analisis Keamanan Siber Pada Platform Pendidikan Islam Berbasis Mobile Apps,"MA Fitria, H Hilalludin",2025,An-Nuriyah: Journal Of Islamic …,0.164065,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,12,68,cyber security,Keamanan siber sebagai fondasi pengembangan aplikasi keuangan mobile: Studi literatur mengenai cybercrime dan mitigasinya,"S Azizah, ZN Ula, D Mutiara…",2024,Akuntansi dan …,0.160665,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,13,58,cyber security,Tinjauan Literatur Tentang Ancaman Cybercrime Dan Implementasi Keamanan Siber Di Industri Perbankan,"NS Azzahra, AM Tambunan, NN Aulia…",2024,"… , Sosial dan Bisnis",0.152252,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,14,73,cyber security,Serangan cyber dan kesiapan keamanan cyber terhadap bank indonesia,"I Dermawan, A Baidawi…",2023,Jurnal Informasi Dan …,0.148286,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,15,56,cyber security,Analisis penerapan sistem keamanan siber terhadap kejahatan siber di indonesia,"Y Daeng, J Levin, K Karolina, MR Prayudha…",2023,Innovative: Journal Of …,0.145382,Tidak,Tidak,3,Rendah
keamanan jaringan,Cyber Security,16,52,cyber security,Analisis hukum terhadap tantangan keamanan siber: Studi kasus penegakan hukum siber di Indonesia,FR Najwa,2024,"AL-BAHTS: Jurnal Ilmu Sosial, Politik, dan Hukum",0.145067,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,17,67,cyber security,Optimalisasi penanggulangan kebocoran data melalui regulatory blockchain guna mewujudkan keamanan siber di Indonesia,"II Nugroho, R Pratiwi, SRA Zahro",2021,Ikatan Penulis Mahasiswa …,0.142582,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,18,66,cyber security,Analisis Keamanan Siber Dan Hukum Dari Perspektif Gender Dan Filsafat Politik Alison M. Jaggar,A Munte,2021,Al-Adl: Jurnal Hukum,0.137622,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,19,60,cyber security,Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …,MP Aji,2023,Jurnal Politica Dinamika Masalah Politik Dalam Negeri …,0.136569,Tidak,Tidak,4,Rendah
keamanan jaringan,Cyber Security,20,71,cyber security,Mengukur Keamanan Siber Indonesia Melalui Indikator Pilar Kerjasama Dalam Global Cybersecurity Index (GCI),"F Cloramidine, M Badaruddin",2023,Jurnal Sosial Dan Humaniora,0.134012,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,1,134,mobile application,Deep learning methods for accurate skin cancer recognition and mobile application,"I Kousis, I Perikos, I Hatzilygeroudis, M Virvou",2022,Electronics,0.371184,Ya,Ya,8,Relevan Sedang
mobile application,Mobile Application,2,141,mobile application,Towards a new learning experience through a mobile application with augmented reality in engineering education,"S Criollo-C, D Abad-Vásquez, M Martic-Nieto…",2021,Applied Sciences,0.256785,Tidak,Tidak,6,Rendah
mobile application,Mobile Application,3,197,web application,Open Lab: A web application for running and sharing online experiments,Y Shevchenko,2022,Behavior Research Methods,0.227954,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,4,132,mobile application,The role of mobile application acceptance in shaping e-customer service,"LT Khrais, AM Alghamdi",2021,Future Internet,0.219308,Tidak,Tidak,6,Rendah
mobile application,Mobile Application,5,139,mobile application,Augmented reality technology adoption: Case of a mobile application in Turkey,"M Yavuz, E Çorbacıoğlu, AN Başoğlu, TU Daim…",2021,Technology in …,0.21404,Tidak,Tidak,5,Rendah
mobile application,Mobile Application,6,124,mobile application,Perancangan Ulang UI & UX Menggunakan Metode Design Thinking Pada Aplikasi Siakadu Mahasiswa Berbasis Mobile,"FC Wardana, IGLPE Prismana",2022,Journal of Emerging …,0.211707,Tidak,Tidak,5,Rendah
mobile application,Mobile Application,7,181,web application,DeepCrop: Deep learning-based crop disease prediction with web application,"MM Islam, MAA Adil, MA Talukder…",2023,Journal of Agriculture …,0.210066,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,8,122,mobile application,Analisis kualitas layanan pada aplikasi Mobile JKN dengan tingkat kepuasan pengguna Mobile JKN BPJS Kesehatan di Kabupaten Demak,"S Rohmah, RT Desty, W Arumsari",2024,Indonesian Journal of Health …,0.193532,Tidak,Tidak,7,Rendah
mobile application,Mobile Application,9,111,mobile application,Analisis Technology Acceptance Model (TAM) Terhadap Pengguna Aplikasi Mobile Banking,"A Siswoyo, BS Irianto",2023,Owner: Riset dan Jurnal Akuntansi,0.186308,Tidak,Tidak,5,Rendah
mobile application,Mobile Application,10,104,mobile application,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,"UU Sufandi, D Trihapningsari, W Mellysa",2022,Techno. Com,0.184014,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,11,200,web application,A hybrid fuzzy rule-based multi-criteria framework for sustainable-security assessment of web application,"R Kumar, A Baz, H Alhakami, W Alhakami…",2021,Ain Shams Engineering …,0.177258,Tidak,Tidak,3,Rendah
mobile application,Mobile Application,12,119,mobile application,Analisis persepsi konsumen terhadap penggunaan aplikasi Mobile JKN,"A Febisatria, A Liliyan",2024,Jurnal Ilmiah Ekonomi Dan …,0.167959,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,13,195,web application,ML-CKDP: Machine learning-based chronic kidney disease prediction with smart web application,"RK Halder, MN Uddin, MA Uddin, S Aryal…",2024,Journal of Pathology …,0.166237,Tidak,Tidak,3,Rendah
mobile application,Mobile Application,14,129,mobile application,A study of mobile app use for teaching and research in higher education,"A Hinze, N Vanderschantz, C Timpany…",2023,"Technology, Knowledge …",0.165796,Tidak,Tidak,5,Rendah
mobile application,Mobile Application,15,199,web application,From prompt injections to sql injection attacks: How protected is your llm-integrated web application?,"R Pedro, D Castro, P Carreira, N Santos",2023,arXiv preprint arXiv:2308.01990,0.164218,Tidak,Tidak,3,Rendah
mobile application,Mobile Application,16,143,mobile application,What works best to engage participants in mobile app interventions and e-health: a scoping review,"I Oakley-Girvan, R Yunis…",2022,Telemedicine and e …,0.157669,Tidak,Tidak,5,Rendah
mobile application,Mobile Application,17,127,mobile application,A survey of performance optimization for mobile applications,"M Hort, M Kechagia, F Sarro…",2021,IEEE Transactions on …,0.155037,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,18,101,mobile application,Tren pengembangan aplikasi mobile: Sebuah tinjauan literatur,"SZ Fidela, MP Azizah…",2023,Jurnal Teknik …,0.149175,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,19,133,mobile application,Determinants of mobile apps adoption among young adults: theoretical extension and analysis,"A Mehra, J Paul, RPS Kaurav",2021,Journal of Marketing …,0.141754,Tidak,Tidak,4,Rendah
mobile application,Mobile Application,20,112,mobile application,Perancangan UI/UX Aplikasi Mobile Produk Fashion Pria pada Toko Celcius di Kota Manado Menggunakan Design Thinking,"IBK Sekali, CEJC Montolalu…",2023,Jurnal Ilmiah …,0.140706,Tidak,Tidak,4,Rendah
aplikasi mobile,Mobile Application,1,124,mobile application,Perancangan Ulang UI & UX Menggunakan Metode Design Thinking Pada Aplikasi Siakadu Mahasiswa Berbasis Mobile,"FC Wardana, IGLPE Prismana",2022,Journal of Emerging …,0.435222,Ya,Ya,9,Relevan Sedang
aplikasi mobile,Mobile Application,2,104,mobile application,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,"UU Sufandi, D Trihapningsari, W Mellysa",2022,Techno. Com,0.420325,Ya,Ya,8,Relevan Sedang
aplikasi mobile,Mobile Application,3,107,mobile application,Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon,"WME Lumi, RA Musak, F Tumiwa…",2023,Jurnal Pengabdian …,0.384529,Ya,Ya,10,Relevan Sedang
aplikasi mobile,Mobile Application,4,119,mobile application,Analisis persepsi konsumen terhadap penggunaan aplikasi Mobile JKN,"A Febisatria, A Liliyan",2024,Jurnal Ilmiah Ekonomi Dan …,0.383652,Ya,Ya,8,Relevan Sedang
aplikasi mobile,Mobile Application,5,112,mobile application,Perancangan UI/UX Aplikasi Mobile Produk Fashion Pria pada Toko Celcius di Kota Manado Menggunakan Design Thinking,"IBK Sekali, CEJC Montolalu…",2023,Jurnal Ilmiah …,0.361575,Ya,Ya,9,Relevan Sedang
aplikasi mobile,Mobile Application,6,103,mobile application,Penerapan metode design thinking dalam perancangan UI/UX aplikasi mobile SIPROPMAWA,"S Ansori, P Hendradi, S Nugroho…",2023,Journal of …,0.351319,Ya,Ya,7,Relevan Sedang
aplikasi mobile,Mobile Application,7,123,mobile application,Analisis Penggunaan Aplikasi Mobile JKN dengan Metode EUCS,"AN Jannah, I Susanto…",2023,Remik: Riset Dan E …,0.347549,Ya,Ya,7,Relevan Sedang
aplikasi mobile,Mobile Application,8,122,mobile application,Analisis kualitas layanan pada aplikasi Mobile JKN dengan tingkat kepuasan pengguna Mobile JKN BPJS Kesehatan di Kabupaten Demak,"S Rohmah, RT Desty, W Arumsari",2024,Indonesian Journal of Health …,0.347338,Ya,Ya,11,Relevan Sedang
aplikasi mobile,Mobile Application,9,121,mobile application,Penggunaan metode heuristic evaluation sebagai analisis evaluasi user interface dan user experience pada aplikasi bca mobile,"M Subhan, AD Indriyanti",2021,Journal of Emerging Information …,0.341318,Ya,Ya,9,Relevan Sedang
aplikasi mobile,Mobile Application,10,101,mobile application,Tren pengembangan aplikasi mobile: Sebuah tinjauan literatur,"SZ Fidela, MP Azizah…",2023,Jurnal Teknik …,0.340745,Ya,Ya,8,Relevan Sedang
aplikasi mobile,Mobile Application,11,125,mobile application,Analisis Sentimen Ulasan Aplikasi Jamsostek Mobile Menggunakan Metode Support Vector Machine,"V Fitriyana, L Hakim, DCR Novitasari…",2023,Jurnal Buana …,0.307331,Ya,Ya,6,Relevan Sedang
aplikasi mobile,Mobile Application,12,109,mobile application,Tingkat kepuasan masyarakat terhadap pendaftaran online pada aplikasi Mobile JKN,"L Banowati, D Revilia",2021,Health Care: Jurnal Kesehatan,0.300594,Ya,Ya,7,Relevan Sedang
aplikasi mobile,Mobile Application,13,110,mobile application,Perancangan user experience aplikasi mobile Majuli menggunakan metode design thinking,"KH Lim, N Setiyawati",2022,Journal of Information Technology …,0.298612,Tidak,Tidak,6,Rendah
aplikasi mobile,Mobile Application,14,113,mobile application,Pengembangan Aplikasi Kasir Mobile Yang Efisien,"AC Kamilla, N Priyani, VH Pranatawijaya…",2024,JATI (Jurnal …,0.297284,Tidak,Tidak,6,Rendah
aplikasi mobile,Mobile Application,15,115,mobile application,Aplikasi Mobile JKN untuk Memudahkan Akses Pelayanan BPJS,"S Suhadi, J Jumakil, I Irma",2022,"Jurnal Penelitian Kesehatan"" …",0.289336,Tidak,Tidak,8,Rendah
aplikasi mobile,Mobile Application,16,108,mobile application,Efektivitas penggunaan aplikasi mobile jkn dalam mengurangi antrian,"RA Prasetiyo, S Safuan",2022,Syntax Literate; Jurnal Ilmiah …,0.279628,Tidak,Tidak,6,Rendah
aplikasi mobile,Mobile Application,17,117,mobile application,Analisis Sentimen Berbasis Aspek pada Aplikasi Mobile Menggunakan Naïve Bayes berdasarkan Ulasan Pengguna Playstore (Studi Kasus: Jconnect Mobile),"AR Putra, DE Ratnawati",2025,Jurnal Teknologi Informasi dan Ilmu Komputer,0.278368,Tidak,Tidak,8,Rendah
aplikasi mobile,Mobile Application,18,118,mobile application,Persepsi manfaat kemudahan terhadap niat dalam penggunaan aplikasi mobile banking,"DS Dwika, H Ali",2024,Jurnal Ekonomi Manajemen Sistem Informasi,0.269971,Tidak,Tidak,8,Rendah
aplikasi mobile,Mobile Application,19,120,mobile application,Analisis kualitas pelayanan aplikasi mobile JKN BPJS kesehatan menggunakan metode service quality (servqual),"S Bahri, A Amri, AA Siregar",2022,Industrial Engineering Journal,0.250142,Tidak,Tidak,6,Rendah
aplikasi mobile,Mobile Application,20,116,mobile application,Aplikasi pembelajaran ilmu tajwid berbasis mobile,"NL Anggreini, IP Putra",2022,Jurnal Informasi Dan Komputer,0.218443,Tidak,Tidak,5,Rendah
aplikasi android,Mobile Application,1,158,web application,Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review,T Wahyudi,2022,Indonesian Journal Computer Science,0.31754,Ya,Ya,5,Relevan Sedang
aplikasi android,Mobile Application,2,107,mobile application,Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon,"WME Lumi, RA Musak, F Tumiwa…",2023,Jurnal Pengabdian …,0.078277,Tidak,Tidak,6,Rendah
aplikasi android,Mobile Application,3,109,mobile application,Tingkat kepuasan masyarakat terhadap pendaftaran online pada aplikasi Mobile JKN,"L Banowati, D Revilia",2021,Health Care: Jurnal Kesehatan,0.072846,Tidak,Tidak,5,Rendah
aplikasi android,Mobile Application,4,157,web application,Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum,"A Andipradana, KD Hartomo",2021,Jurnal Algoritma,0.072089,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,5,104,mobile application,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,"UU Sufandi, D Trihapningsari, W Mellysa",2022,Techno. Com,0.071303,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,6,125,mobile application,Analisis Sentimen Ulasan Aplikasi Jamsostek Mobile Menggunakan Metode Support Vector Machine,"V Fitriyana, L Hakim, DCR Novitasari…",2023,Jurnal Buana …,0.069514,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,7,112,mobile application,Perancangan UI/UX Aplikasi Mobile Produk Fashion Pria pada Toko Celcius di Kota Manado Menggunakan Design Thinking,"IBK Sekali, CEJC Montolalu…",2023,Jurnal Ilmiah …,0.068152,Tidak,Tidak,5,Rendah
aplikasi android,Mobile Application,8,103,mobile application,Penerapan metode design thinking dalam perancangan UI/UX aplikasi mobile SIPROPMAWA,"S Ansori, P Hendradi, S Nugroho…",2023,Journal of …,0.068111,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,9,110,mobile application,Perancangan user experience aplikasi mobile Majuli menggunakan metode design thinking,"KH Lim, N Setiyawati",2022,Journal of Information Technology …,0.067542,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,10,123,mobile application,Analisis Penggunaan Aplikasi Mobile JKN dengan Metode EUCS,"AN Jannah, I Susanto…",2023,Remik: Riset Dan E …,0.06738,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,11,124,mobile application,Perancangan Ulang UI & UX Menggunakan Metode Design Thinking Pada Aplikasi Siakadu Mahasiswa Berbasis Mobile,"FC Wardana, IGLPE Prismana",2022,Journal of Emerging …,0.065627,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,12,119,mobile application,Analisis persepsi konsumen terhadap penggunaan aplikasi Mobile JKN,"A Febisatria, A Liliyan",2024,Jurnal Ilmiah Ekonomi Dan …,0.065082,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,13,121,mobile application,Penggunaan metode heuristic evaluation sebagai analisis evaluasi user interface dan user experience pada aplikasi bca mobile,"M Subhan, AD Indriyanti",2021,Journal of Emerging Information …,0.064334,Tidak,Tidak,5,Rendah
aplikasi android,Mobile Application,14,167,web application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,"DE Cahyono, A Jayanti",2022,Jurnal Ekonomi Dan Teknik …,0.063729,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,15,155,web application,Analisis Keretanan Website Dengan Aplikasi Owasp Zap,"AF Hasibuan, D Handoko",2023,Jurnal Ilmu Komputer …,0.063609,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,16,115,mobile application,Aplikasi Mobile JKN untuk Memudahkan Akses Pelayanan BPJS,"S Suhadi, J Jumakil, I Irma",2022,"Jurnal Penelitian Kesehatan"" …",0.061353,Tidak,Tidak,5,Rendah
aplikasi android,Mobile Application,17,164,web application,Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web,"T Ardiansah, D Hidayatullah",2023,Journal of …,0.060513,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,18,116,mobile application,Aplikasi pembelajaran ilmu tajwid berbasis mobile,"NL Anggreini, IP Putra",2022,Jurnal Informasi Dan Komputer,0.05929,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,19,101,mobile application,Tren pengembangan aplikasi mobile: Sebuah tinjauan literatur,"SZ Fidela, MP Azizah…",2023,Jurnal Teknik …,0.057804,Tidak,Tidak,4,Rendah
aplikasi android,Mobile Application,20,172,web application,Perancangan sistem aplikasi penjualan dan layanan jasa laundry sepatu berbasis website,"IP Sari, A Syahputra, N Zaky…",2022,Blend sains jurnal …,0.05432,Tidak,Tidak,4,Rendah
