id,title,abstract,authors,year,source,category,cleaned_text
79,Getting started modern web development with next. js: an indispensable react framework,"… web apps is NextJS. NextJS has three main advantages: An improved user experience.
Extraordinary performance. React developers … of the game"" in web development, and divides our …","VKR Ballamudi, K Lal, H Desamsetti…",2021,… & Sustainability Review,web developer,getting started modern web development with next js an indispensable react framework web apps is nextjs nextjs has three main advantages an improved user experience extraordinary performance react developers of the game in web development and divides our
80,Responsive web design and its impact on user experience,"… Without knowing in advance which web browsers will be used, the … , web designers must
conceptualise web applications. Responsive Web design, which enables a website to adjust to …","N Bhanarkar, A Paul, A Mehta",2023,International Journal of Advanced …,web developer,responsive web design and its impact on user experience without knowing in advance which web browsers will be used the web designers must conceptualise web applications responsive web design which enables website to adjust to
81,Conversations with deviant website developers: A case study of online shopping fraud enablers,"… website developers involved in creating non-delivery fraud websites. Through semi-structured
interviews with 14 developers… offending ancestral spirits deter developers from direct fraud …","JM Whittaker, MR Mcguire…",2026,Journal of …,web developer,conversations with deviant website developers case study of online shopping fraud enablers website developers involved in creating nondelivery fraud websites through semistructured interviews with developers offending ancestral spirits deter developers from direct fraud
82,Cognitive and affective effects of teachers' annotations and talking heads on asynchronous video lectures in a web development course,"… We followed the syllabus of the introductory web design and development course, which
is composed of seven modules covering three web languages: HTML, CSS, and JavaScript. …","MB Garcia, AMF Yousef",2023,Research and Practice in Technology …,web developer,cognitive and affective effects of teachers annotations and talking heads on asynchronous video lectures in web development course we followed the syllabus of the introductory web design and development course which is composed of seven modules covering three web languages html css and javascript
83,Program Pelatihan Web Development untuk Komunitas Maya,"… kursus atau pelatihan Web Development secara gratis … Web Development secara gratis,
sehingga dapat memberikan pemahaman dan pembelajaran mengenai pengembangan web …","A Sutedi, D Nursyaban, C Mutiara, D Sopiah…",2021,Jurnal PkM …,web developer,program latih web development komunitas maya kursus latih web development cara gratis web development cara gratis sehingga beri paham ajar kena kembang web
84,Analyzing the impact of visual elements in website design on user experience and interaction,"… in website design on the user experience and interaction with it, highlighting the importance
of visual design … Therefore, the visual design of the website will have a significant impact on …",NSD Thwairan,2024,International journal of religion,web developer,analyzing the impact of visual elements in website design on user experience and interaction in website design on the user experience and interaction with it highlighting the importance of visual design therefore the visual design of the website will have significant impact on
85,Comparative analysis of chatbots using large language models for web development tasks,"… in the context of web development, guiding developers in selecting the most effective
tools for their coding tasks and highlighting potential improvements for chatbot developers. …","P Smutny, M Bojko",2024,Applied Sciences,web developer,comparative analysis of chatbots using large language models for web development tasks in the context of web development guiding developers in selecting the most effective tools for their coding tasks and highlighting potential improvements for chatbot developers
86,AI AND WEB DEVELOPMENT,"… AI technologies and web development practices, … development projects faster and better.
Critical analysis in this study shows that AI is involved in shaping the future of web development…",RT Surampudi,2025,… Journal Of Engineering Technology Research & …,web developer,ai and web development ai technologies and web development practices development projects faster and better critical analysis in this study shows that ai is involved in shaping the future of web development
87,"Exploring the website object layout of responsive web design: results of eye tracking evaluations: JC Hung, C.-C. Wang","… The results of this paper were expected to be available as reference to web designers
who design mobile websites with RWD technology. Hopefully, the results regarding mobile …","JC Hung, CC Wang",2021,The Journal of Supercomputing,web developer,exploring the website object layout of responsive web design results of eye tracking evaluations jc hung cc wang the results of this paper were expected to be available as reference to web designers who design mobile websites with rwd technology hopefully the results regarding mobile
88,Demonstrating and negotiating the adoption of web design technologies: Cascading Style Sheets and the CSS Zen Garden,"… content, the split between content and design, and the rise of … work on defining web designers
and web design, much less … on the development, history and adoption of CSS by the web. …","D Wilson, SU Hassan, NR Aljohani, A Visvizi…",2023,Internet …,web developer,demonstrating and negotiating the adoption of web design technologies cascading style sheets and the css zen garden content the split between content and design and the rise of work on defining web designers and web design much less on the development history and adoption of css by the web
89,Impact of website design features on experiential value and patronage intention toward online mass customization sites,"… Whereas the present study found that OMC website design features (visual design cues and
… of the variables that mediate website design feature and purchase intention relationships. …","Y Zhang, AM Fiore, L Zhang, X Liu",2021,Journal of Fashion Marketing and …,web developer,impact of website design features on experiential value and patronage intention toward online mass customization sites whereas the present study found that omc website design features visual design cues and of the variables that mediate website design feature and purchase intention relationships
90,Study on mvc framework for web development in php,"… (Model-View-Controller) framework for web development in PHP contains substantial societal
value. Initially, this study advances web development methods through a systematic and …","S Khan, AT Khanam",2023,Int. J. Sci. Res. Comput. Sci. Eng. Inf. Technol,web developer,study on mvc framework for web development in php modelviewcontroller framework for web development in php contains substantial societal value initially this study advances web development methods through systematic and
91,Progressive web apps (PWAs): Enhancing user experience through modern web development,"… The use of Progressive Web Apps (PWAs) is regarded as a revolutionary solution in web
development mainly because they occupy the territory between web applications and native …",BR Cherukuri,2024,International Journal of Science and Research,web developer,progressive web apps pwas enhancing user experience through modern web development the use of progressive web apps pwas is regarded as revolutionary solution in web development mainly because they occupy the territory between web applications and native
92,“Tom had us all doing front-end web development”: a nostalgic (re) imagining of Myspace,"This paper provides an analysis of a nostalgic Myspace discourse that contradicts the narrative
of Myspace as a failed platform. The Myspace nostalgia discourse is especially dominant …","KM Miltner, Y Gerrard",2022,Internet Histories,web developer,tom had us all doing frontend web development nostalgic re imagining of myspace this paper provides an analysis of nostalgic myspace discourse that contradicts the narrative of myspace as failed platform the myspace nostalgia discourse is especially dominant
93,A comparative analysis of component-based architectures in web design for scalable applications,"… as a powerful solution, allowing developers to build applications by dividing them into … web
applications. The aim of this paper - to conduct a comparative analysis of CBA in web design …",S Denys,2024,Холодная наука,web developer,comparative analysis of componentbased architectures in web design for scalable applications as powerful solution allowing developers to build applications by dividing them into web applications the aim of this paper to conduct comparative analysis of cba in web design
94,Current web development technologies: a comparative review,"… current web development technologies in IT industry and its measure. Developers of web-based …
They investigate, identify, and evaluate technology for creating web applications. They …","V Pathak, V Shrivastava, R Buri, S Gupta…",2023,… Conference On Emerging …,web developer,current web development technologies comparative review current web development technologies in it industry and its measure developers of webbased they investigate identify and evaluate technology for creating web applications they
95,Rancang bangun game 3D edukasi basic web development menggunakan Unity 3D,"… basic web development yang ditujukan kepada kalangan umum, dimana pembelajaran tentang
web development … memberikan edukasi dasar pembelajaran web. Game adalah sebuah …","R Irawan, YS Siregar…",2024,Jurnal Komputer …,web developer,rancang bangun game edukasi basic web development guna unity basic web development tuju kepada kalang umum mana ajar tentang web development beri edukasi dasar ajar web game buah
96,Analyzing the impact of search engine optimization techniques on web development using experiential and collaborative learning techniques,"… designed website … be web developer in future; learning the theoretical concept of SEO is
not enough. The way in which SEO strategy is being drafted varies as per the purpose of website…",DY Pawade,2021,International Journal of Modern Education and …,web developer,analyzing the impact of search engine optimization techniques on web development using experiential and collaborative learning techniques designed website be web developer in future learning the theoretical concept of seo is not enough the way in which seo strategy is being drafted varies as per the purpose of website
97,Cognitive disabilities and web accessibility: a survey into the Brazilian web development community,"… online exploratory survey conducted with 105 web development professionals from different
… gap about web accessibility principles and guidelines. Our results confirmed that web devel…","TCPB Pichiliani, EB Pizzolato",2021,Journal on Interactive …,web developer,cognitive disabilities and web accessibility survey into the brazilian web development community online exploratory survey conducted with web development professionals from different gap about web accessibility principles and guidelines our results confirmed that web devel
98,"Tangible progress: Tools, techniques, and impacts of teaching web development to screen reader users","… designing and implementing a remote web development workshop for 12 screen reader …
Science, Web Development, and inclusive education fields. We then present the design of our …","C Ferrari, C Fleet, K Ohshiro, V Alfaro Arias…",2023,ACM Transactions on …,web developer,tangible progress tools techniques and impacts of teaching web development to screen reader users designing and implementing remote web development workshop for screen reader science web development and inclusive education fields we then present the design of our
99,Web Design Focusing on Users Viewing Experience with Respect to Static and Dynamic Nature of Web Sites,"… The papers are based on Web design, and the influence on the user has been taken into …
influence Web design and the users who use it; we are on our way to developing better Web …","RM Balajee, MK Jayanthi Kannan…",2022,… : Proceedings of ICICIT …,web developer,web design focusing on users viewing experience with respect to static and dynamic nature of web sites the papers are based on web design and the influence on the user has been taken into influence web design and the users who use it we are on our way to developing better web
100,Automated front-end code generation using OpenAI: empowering web development efficiency,"… attractive choice for developers seeking to enhance their web development workflows. With
… , web developers can significantly reduce manual coding efforts, streamline development …",NA Ikumapayi,2023,Available at SSRN 4590704,web developer,automated frontend code generation using openai empowering web development efficiency attractive choice for developers seeking to enhance their web development workflows with web developers can significantly reduce manual coding efforts streamline development
101,The recent trends in cyber security: A review,"… advanced cyber security standards along with challenges faced by the cyber security domain…
new researchers to get acquainted with the recent advancements in Cyber security domain. …","J Kaur, KR Ramkumar",2022,Journal of King Saud University-Computer and …,cyber security,the recent trends in cyber security review advanced cyber security standards along with challenges faced by the cyber security domain new researchers to get acquainted with the recent advancements in cyber security domain
102,"Cyber security: State of the art, challenges and future directions","… shifting cyber threats. This article provides an overview of the state of the art in cyber
security, … Moreover, we address the future direction of cyber security, presenting the possible …","WS Admass, YY Munaye, AA Diro",2024,Cyber Security and Applications,cyber security,cyber security state of the art challenges and future directions shifting cyber threats this article provides an overview of the state of the art in cyber security moreover we address the future direction of cyber security presenting the possible
103,"Cyber security, cyber threats, implications and future perspectives: A Review","… To achieve proactive cyber security, not just businesses but the entire society requires high-…
of cybersecurity from all industries' viewpoints. In this study, the prospects of cyber security …",D Ghelani,2022,Authorea Preprints,cyber security,cyber security cyber threats implications and future perspectives review to achieve proactive cyber security not just businesses but the entire society requires high of cybersecurity from all industries viewpoints in this study the prospects of cyber security
104,A comprehensive review study of cyber-attacks and cyber security; Emerging trends and recent developments,"… cyber-security methods. In addition, emerging trends and recent developments of cyber security
and security … review study presented for IT and cyber security researchers will be useful. …","Y Li, Q Liu",2021,Energy Reports,cyber security,comprehensive review study of cyberattacks and cyber security emerging trends and recent developments cybersecurity methods in addition emerging trends and recent developments of cyber security and security review study presented for it and cyber security researchers will be useful
105,Cyber security,"… Cybersecurity has emerged as a global challenge and is becoming a tier one security
threat for nation states. The modern-day cyber age will expose states to new challenges. …","R Walters, M Novak",2021,"Cyber security, artificial intelligence, data protection …",cyber security,cyber security cybersecurity has emerged as global challenge and is becoming tier one security threat for nation states the modernday cyber age will expose states to new challenges
106,A systematic literature review on the cyber security,"… of cyber security kinds, why cyber security is important, cyber security framework, cyber
security tools, and cyber security … Cyber security safeguards the data and integrity of computing …","Y Perwej, SQ Abbas, JP Dixit, N Akhtar…",2021,International Journal of …,cyber security,systematic literature review on the cyber security of cyber security kinds why cyber security is important cyber security framework cyber security tools and cyber security cyber security safeguards the data and integrity of computing
107,Cyber security in the metaverse,"… approach to security is vital to foster trust and safeguard the virtual realm. This chapter aims
to provide an overview of cybersecurity in Metaverse. It discussed the various cyber stacks in …","D Kaur, B Singh, S Rani",2023,Handbook of Research on AI-Based …,cyber security,cyber security in the metaverse approach to security is vital to foster trust and safeguard the virtual realm this chapter aims to provide an overview of cybersecurity in metaverse it discussed the various cyber stacks in
108,Counterattacking cyber threats: A framework for the future of cybersecurity,"… for organizational security. This article presents a comprehensive framework that aims to
shape the future of cyber security. This framework responds to the complexities of modern cyber …","MF Safitra, M Lubis, H Fakhrurroja",2023,Sustainability,cyber security,counterattacking cyber threats framework for the future of cybersecurity for organizational security this article presents comprehensive framework that aims to shape the future of cyber security this framework responds to the complexities of modern cyber
109,Cyber governance studies in ensuring cybersecurity: an overview of cybersecurity governance,"… the steps taken against cyber incidents for developed European countries. They also stated
that Turkey has taken steps against cyber incidents by publishing cyber security policies in …","S Savaş, S Karataş",2022,International Cybersecurity Law Review,cyber security,cyber governance studies in ensuring cybersecurity an overview of cybersecurity governance the steps taken against cyber incidents for developed european countries they also stated that turkey has taken steps against cyber incidents by publishing cyber security policies in
110,Cyber security in the age of COVID-19: A timeline and analysis of cyber-crime and cyber-attacks during the pandemic,"… cyber-crime perspective and highlights the range of cyber-attacks experienced globally during
the pandemic. Cyber… reveal the modus-operandi of cyber-attack campaigns. The analysis …","HS Lallie, LA Shepherd, JRC Nurse, A Erola…",2021,… & security,cyber security,cyber security in the age of covid timeline and analysis of cybercrime and cyberattacks during the pandemic cybercrime perspective and highlights the range of cyberattacks experienced globally during the pandemic cyber reveal the modusoperandi of cyberattack campaigns the analysis
111,Analysis of cyber security knowledge gaps based on cyber security body of knowledge,"… gap between cyber security education and … in cyber security graduates who join the cyber
security workforce. We designed and performed an opinion survey by using the Cyber Security …","C Catal, A Ozcan, E Donmez, A Kasif",2023,Education and Information …,cyber security,analysis of cyber security knowledge gaps based on cyber security body of knowledge gap between cyber security education and in cyber security graduates who join the cyber security workforce we designed and performed an opinion survey by using the cyber security
112,LLMs for cyber security: New opportunities,"… With the emergence of LLMs, we take a fresh look at cyber security, specifically exploring
and summarizing the potential of LLMs in addressing challenging problems in the security and …","DM Divakaran, ST Peddinti",2024,arXiv preprint arXiv:2404.11338,cyber security,llms for cyber security new opportunities with the emergence of llms we take fresh look at cyber security specifically exploring and summarizing the potential of llms in addressing challenging problems in the security and
113,Cybersecurity of industrial cyber-physical systems: A review,"… of cybersecurity studies being funded by security companies, research councils, and state
establishments. This allows the rapid development of security … for cyber security research. …","H Kayan, M Nunes, O Rana, P Burnap…",2022,ACM Computing Surveys …,cyber security,cybersecurity of industrial cyberphysical systems review of cybersecurity studies being funded by security companies research councils and state establishments this allows the rapid development of security for cyber security research
114,"Artificial intelligence in cyber security: Research advances, challenges, and opportunities.","… cyber security mentioned in this paper includes threats from outside2 and within systems (known
as network security … systems, so the goal of cyber security is to protect threats as much …","Z Zhang, H Ning, F Shi, F Farha, Y Xu…",2022,Artificial Intelligence …,cyber security,artificial intelligence in cyber security research advances challenges and opportunities cyber security mentioned in this paper includes threats from outside and within systems known as network security systems so the goal of cyber security is to protect threats as much
115,Cyber security: New realities for industry 4.0 and society 5.0,"… the attack surface are also used to automate cybersecurity detection and prevention. …
Using a cybersecurity platform paradigm, in which security teams may simply combine multiple …","A Deshmukh, DS Patil, G Soni…",2023,Handbook of research on …,cyber security,cyber security new realities for industry and society the attack surface are also used to automate cybersecurity detection and prevention using cybersecurity platform paradigm in which security teams may simply combine multiple
116,Deep reinforcement learning for cyber security,"… , and especially high-dimensional cyber defense problems. This article presents a … for cyber
security. We touch on different vital aspects, including DRL-based security methods for cyber…","TT Nguyen, VJ Reddi",2021,IEEE Transactions on Neural Networks …,cyber security,deep reinforcement learning for cyber security and especially highdimensional cyber defense problems this article presents for cyber security we touch on different vital aspects including drlbased security methods for cyber
117,The role of user behaviour in improving cyber security management,"… to complying with security policies. Second, we discuss kinds of cyber security errors done
by … Third, we discuss individual differences underlying cyber security behaviours in computer …","AA Moustafa, A Bello, A Maurushat",2021,Frontiers in Psychology,cyber security,the role of user behaviour in improving cyber security management to complying with security policies second we discuss kinds of cyber security errors done by third we discuss individual differences underlying cyber security behaviours in computer
118,Cyber security in New Space: M. Manulis et al.,"… This article analyses past satellite security threats and incidents to assess the motivations and
… Key technology advancements and open issues in the satellite industry related to security …","M Manulis, CP Bridges, R Harrison, V Sekar…",2021,… of Information Security,cyber security,cyber security in new space manulis et al this article analyses past satellite security threats and incidents to assess the motivations and key technology advancements and open issues in the satellite industry related to security
119,Artificial intelligence-based cyber security in the context of industry 4.0—a survey,"… technology has increased the cyber-attack surface. In this … of cyber criminals, to develop
knowledge for cyber security … based cyber-attacks and to analyze them for deriving cyber security …","AJG De Azambuja, C Plesker, K Schützer, R Anderl…",2023,Electronics,cyber security,artificial intelligencebased cyber security in the context of industry a survey technology has increased the cyberattack surface in this of cyber criminals to develop knowledge for cyber security based cyberattacks and to analyze them for deriving cyber security
120,"Navigating the cyber security landscape: A comprehensive review of cyber-attacks, emerging trends, and recent developments","… has heightened security concerns in cyberspace. The trend of cyber criminals offering cyber
… of these attacks, emphasizing the need for robust cybersecurity defenses. The landscape of …","MAI Mallick, R Nath",2024,World Scientific News,cyber security,navigating the cyber security landscape comprehensive review of cyberattacks emerging trends and recent developments has heightened security concerns in cyberspace the trend of cyber criminals offering cyber of these attacks emphasizing the need for robust cybersecurity defenses the landscape of
121,Evaluating the cyber security readiness of organizations and its influence on performance,"… their cyber security to prevent and combat cyber-attacks, but studies of factors impacting the
cyber security … set of factors influencing the cyber security readiness of organizations and the …","S Hasan, M Ali, S Kurnia, R Thurasamy",2021,Journal of Information Security …,cyber security,evaluating the cyber security readiness of organizations and its influence on performance their cyber security to prevent and combat cyberattacks but studies of factors impacting the cyber security set of factors influencing the cyber security readiness of organizations and the
122,Cybersecurity risk,"Based on textual analysis and a comparison of cybersecurity risk disclosures of firms that
were hacked to others that were not, we propose a novel firm-level measure of cybersecurity …","C Florackis, C Louca, R Michaely…",2023,The Review of Financial …,cyber security,cybersecurity risk based on textual analysis and comparison of cybersecurity risk disclosures of firms that were hacked to others that were not we propose novel firmlevel measure of cybersecurity
123,Cyber resilience and cyber security issues of intelligent cloud computing systems,"… It is necessary to provide the cyber security of cloud computing according to the … the cyber
security of this technology is to accurately identify its threats. In this paper, a new cyber security …",F Abdullayeva,2023,Results in Control and Optimization,cyber security,cyber resilience and cyber security issues of intelligent cloud computing systems it is necessary to provide the cyber security of cloud computing according to the the cyber security of this technology is to accurately identify its threats in this paper new cyber security
124,Artificial intelligence in cyber security,"… For security preparation, the instance of a cyber security device specialist is one. This skilled
system enables substantially the collection and instruction of security initiatives to optimize …","R Das, R Sandhane",2021,Journal of Physics: Conference Series,cyber security,artificial intelligence in cyber security for security preparation the instance of cyber security device specialist is one this skilled system enables substantially the collection and instruction of security initiatives to optimize
125,Role of AI and its impact on the development of cyber security applications,"… its impact on cyber security as well as discuss various applications of AI in cyber security in
detail. … on artificial intelligence and cyber security and how AI has evolved in providing better …","A Anandita Iyer, KS Umadevi",2023,Artificial Intelligence and Cyber Security in …,cyber security,role of ai and its impact on the development of cyber security applications its impact on cyber security as well as discuss various applications of ai in cyber security in detail on artificial intelligence and cyber security and how ai has evolved in providing better
126,"Review on cyber-physical and cyber-security system in smart grid: Standards, protocols, constraints, and recommendations","… cyber security principles, standards, and protocols. Finally, we discuss some challenges for
SG cyber-physical systems, cyber-attacks, and cyber security … of the cyber security systems …","MK Hasan, AKMA Habib, Z Shukur, F Ibrahim…",2023,Journal of network and …,cyber security,review on cyberphysical and cybersecurity system in smart grid standards protocols constraints and recommendations cyber security principles standards and protocols finally we discuss some challenges for sg cyberphysical systems cyberattacks and cyber security of the cyber security systems
127,Cyber risk and cybersecurity: a systematic review of data availability,"… cybersecurity and cyber risk management with a particular focus on data availability. From a
preliminary search resulting in 5219 cyber … We posit that the lack of available data on cyber …","F Cremer, B Sheehan, M Fortmann…",2022,The Geneva papers …,cyber security,cyber risk and cybersecurity systematic review of data availability cybersecurity and cyber risk management with particular focus on data availability from preliminary search resulting in cyber we posit that the lack of available data on cyber
128,"A comprehensive review on cyber-attacks in power systems: Impact analysis, detection, and cyber security","… detection and mitigation of these vulnerable cyber-attacks using advanced computation …
cyber security challenges such as smart meter security, end-users privacy, electricity theft cyber-…","N Tatipatri, SL Arun",2024,IEEe Access,cyber security,comprehensive review on cyberattacks in power systems impact analysis detection and cyber security detection and mitigation of these vulnerable cyberattacks using advanced computation cyber security challenges such as smart meter security endusers privacy electricity theft cyber
129,"A comprehensive review of cyber security vulnerabilities, threats, attacks, and solutions","… In summary, cyber security ensures the security of virtual life on cyber networks. The … under
the name of cyber security [4]. The primary purpose of cyber security is to secure the data of …","Ö Aslan, SS Aktuğ, M Ozkan-Okay, AA Yilmaz, E Akin",2023,Electronics,cyber security,comprehensive review of cyber security vulnerabilities threats attacks and solutions in summary cyber security ensures the security of virtual life on cyber networks the under the name of cyber security the primary purpose of cyber security is to secure the data of
130,"Cyber security techniques, architectures, and design","… Consequently, cyber security is the security of all related networks. It is also related to the
security … concerned spheres where every security is a critical issue, which are discussed below: …","S Rani, A Kataria, M Chauhan",2022,… cryptography in cyber security,cyber security,cyber security techniques architectures and design consequently cyber security is the security of all related networks it is also related to the security concerned spheres where every security is critical issue which are discussed below
131,Cyber security as a threat to health care,"… Purpose: Cyber security incidents are posing an increasing … vulnerabilities to avoid
cybersecurity incidents. The eight … , which aided in ensuring cybersecurity with facilities and …","A Adebukola, A Navya, F Jordan, N Jenifer…",2022,Journal of Technology …,cyber security,cyber security as threat to health care purpose cyber security incidents are posing an increasing vulnerabilities to avoid cybersecurity incidents the eight which aided in ensuring cybersecurity with facilities and
132,The difference between cyber security vs information security,"… differences between cyber security and information security, … of security, which are part of
the umbrella term: cyber security… a difference between cyber security and information security, …","LA Alexei, A Alexei",2022,Journal of Engineering Science,cyber security,the difference between cyber security vs information security differences between cyber security and information security of security which are part of the umbrella term cyber security difference between cyber security and information security
133,Internet of things meet internet of threats: New concern cyber security issues of critical cyber infrastructure,"… These impactful incidents clearly show how harmful an IT security breach can be. It is
also evident that the state of the art of cyber security has shifted to another dimension where …","A Djenna, S Harous, DE Saidouni",2021,Applied sciences,cyber security,internet of things meet internet of threats new concern cyber security issues of critical cyber infrastructure these impactful incidents clearly show how harmful an it security breach can be it is also evident that the state of the art of cyber security has shifted to another dimension where
134,The role of national cybersecurity strategies on the improvement of cybersecurity education,"… the creation of a resilient cybersecurity ecosystem and in supporting cyber sovereignty. This
… Cybersecurity Strategic Plans (NCSPs) and analyzes the associated existing cybersecurity …","S AlDaajeh, H Saleous, S Alrabaee, E Barka…",2022,… & Security,cyber security,the role of national cybersecurity strategies on the improvement of cybersecurity education the creation of resilient cybersecurity ecosystem and in supporting cyber sovereignty this cybersecurity strategic plans ncsps and analyzes the associated existing cybersecurity
135,"Generative AI for cyber security: Analyzing the potential of ChatGPT, DALL-E, and other models for enhancing the security space","… cyber security issues. This ability of GAI can also help an organization bridge the gap between
cyber security … understood explanations for various cyber issues and hence helping them …","S Sai, U Yashvardhan, V Chamola, B Sikdar",2024,IEEE access,cyber security,generative ai for cyber security analyzing the potential of chatgpt dalle and other models for enhancing the security space cyber security issues this ability of gai can also help an organization bridge the gap between cyber security understood explanations for various cyber issues and hence helping them
136,Cyber security threats: A never-ending challenge for e-commerce,"… This study explores the challenge of cyber security threats that e-commerce technology
and … challenges, and cyber security challenge is one of them. Cyber security concerns have …","X Liu, SF Ahmad, MK Anser, J Ke, M Irshad…",2022,Frontiers in …,cyber security,cyber security threats neverending challenge for ecommerce this study explores the challenge of cyber security threats that ecommerce technology and challenges and cyber security challenge is one of them cyber security concerns have
137,Defining cyber security and cyber security risk within a multidisciplinary context using expert elicitation,"… cyber security risk. We used this expert elicitation process to develop comprehensive definitions
of cyber security (cybersecurity) and cyber security … significant cyber security risk factors. …","MG Cains, L Flora, D Taber, Z King…",2022,Risk Analysis,cyber security,defining cyber security and cyber security risk within multidisciplinary context using expert elicitation cyber security risk we used this expert elicitation process to develop comprehensive definitions of cyber security cybersecurity and cyber security significant cyber security risk factors
138,"Study of smart grid cyber-security, examining architectures, communication networks, cyber-attacks, countermeasure techniques, and challenges","… the NIST cybersecurity framework in order to assure a reasonable level of cybersecurity. As
a … by covering all the steps of assuring security and not only concentrating on specific steps, …","B Achaal, M Adda, M Berger, H Ibrahim, A Awde",2024,Cybersecurity,cyber security,study of smart grid cybersecurity examining architectures communication networks cyberattacks countermeasure techniques and challenges the nist cybersecurity framework in order to assure reasonable level of cybersecurity as by covering all the steps of assuring security and not only concentrating on specific steps
139,The role of cyber security in a digitalizing economy: a development perspective,"… , cyber security and information security are not the same thing. (Spremić, 2018) in an article
titled “Cyber security … the transition from information security to cyber security, primarily as a …","CI Erondu, UI Erondu",2023,… journal of research and innovation in …,cyber security,the role of cyber security in digitalizing economy development perspective cyber security and information security are not the same thing spremi in an article titled cyber security the transition from information security to cyber security primarily as
140,When llms meet cybersecurity: A systematic literature review,"… the advancement in LLMs and its potential impact on enhancing cybersecurity practices.
We will delve into various cybersecurity tasks and applications to which LLMs are applicable, …","J Zhang, H Bu, H Wen, Y Liu, H Fei, R Xi, L Li, Y Yang…",2025,Cybersecurity,cyber security,when llms meet cybersecurity systematic literature review the advancement in llms and its potential impact on enhancing cybersecurity practices we will delve into various cybersecurity tasks and applications to which llms are applicable
141,Evolution of the cyber security threat: an overview of the scale of cyber threat,"… technology security is another term that can be used interchangeably with cyber security. …
, rapid measures, and forward-looking perspectives about cyber security and cyber danger. …","T Fadziso, UR Thaduri, S Dekkati…",2023,Digitalization & …,cyber security,evolution of the cyber security threat an overview of the scale of cyber threat technology security is another term that can be used interchangeably with cyber security rapid measures and forwardlooking perspectives about cyber security and cyber danger
142,Cyber security training for critical infrastructure protection: A literature review,"… In this study, we seek to establish the current state-of-the-art in cyber-security training
offerings for critical infrastructure protection and the key performance indicators (KPIs) that allow …","N Chowdhury, V Gkioulos",2021,Computer Science Review,cyber security,cyber security training for critical infrastructure protection literature review in this study we seek to establish the current stateoftheart in cybersecurity training offerings for critical infrastructure protection and the key performance indicators kpis that allow
143,"Cyber security awareness, knowledge and behavior: A comparative study","… security. As rates of data usage and internet consumption continue to increase, cyber …
This study focuses on the relationships between cyber security awareness, knowledge and …","M Zwilling, G Klien, D Lesjak, Ł Wiechetek…",2022,Journal of Computer …,cyber security,cyber security awareness knowledge and behavior comparative study security as rates of data usage and internet consumption continue to increase cyber this study focuses on the relationships between cyber security awareness knowledge and
144,"Dynamic defenses in cyber security: Techniques, methods and challenges","… in cyber security. Specifically, we firstly introduce basic concepts and define dynamic defense
in cyber security. … open challenges and opportunities for dynamic defense in cyber security. …","Y Zheng, Z Li, X Xu, Q Zhao",2022,Digital Communications and Networks,cyber security,dynamic defenses in cyber security techniques methods and challenges in cyber security specifically we firstly introduce basic concepts and define dynamic defense in cyber security open challenges and opportunities for dynamic defense in cyber security
145,Artificial intelligence predictions in cyber security: Analysis and early detection of cyber attacks,"… cyber security solutions by addressing the dynamic and constantly-evolving landscape of
cyber … to applied ML to Predictions Cyber Security of Early Detection of Cyber Attacks."" The aim …","MA Khalaf, A Steiti",2024,Babylonian Journal of Machine Learning,cyber security,artificial intelligence predictions in cyber security analysis and early detection of cyber attacks cyber security solutions by addressing the dynamic and constantlyevolving landscape of cyber to applied ml to predictions cyber security of early detection of cyber attacks the aim
146,Strategic cybersecurity,"… cybersecurity strategies, promoting a robust cyber … cyber threats, bolstering their global
cybersecurity stature and ensuring the protection of national and international digital security …","S AlDaajeh, S Alrabaee",2024,Computers & Security,cyber security,strategic cybersecurity cybersecurity strategies promoting robust cyber cyber threats bolstering their global cybersecurity stature and ensuring the protection of national and international digital security
147,"Uniting cyber security and machine learning: Advantages, challenges and future research","… to the machine learning models, improves the performance of the cyber security … cyber
security and ML. We also discuss the advantages, issues and challenges of uniting cyber security …","M Wazid, AK Das, V Chamola, Y Park",2022,ICT express,cyber security,uniting cyber security and machine learning advantages challenges and future research to the machine learning models improves the performance of the cyber security cyber security and ml we also discuss the advantages issues and challenges of uniting cyber security
148,Cyber security threats on digital banking,"… the problem of security in internet banking … cyber security, which is usually unknown to
most people [8]. This problem is also important since this is associated with the financial security …","HM Alzoubi, TM Ghazal, MK Hasan…",2022,… AI in Cybersecurity …,cyber security,cyber security threats on digital banking the problem of security in internet banking cyber security which is usually unknown to most people this problem is also important since this is associated with the financial security
149,Cyber security and the Leviathan,"… and of cyber security in Western society. Our findings indicate that cyber security within these
… We conclude by suggesting implications for cyber-security practitioners, in particular, the …",J Da Silva,2022,Computers & security,cyber security,cyber security and the leviathan and of cyber security in western society our findings indicate that cyber security within these we conclude by suggesting implications for cybersecurity practitioners in particular the
150,Artificial intelligence in the cyber security environment,"… comprehend network safety or areas of cyber security issues. … to foresee and distinguish
data security dangers and failures. … Cyber security Digital protection measures are related with …",J Jain,2021,… intelligence and data mining approaches in security …,cyber security,artificial intelligence in the cyber security environment comprehend network safety or areas of cyber security issues to foresee and distinguish data security dangers and failures cyber security digital protection measures are related with
